Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
High resolution irradiance spectrum from 300 to 1000 nm.
Thuillier et al (2004) calibration
Kurucz.harvard.edu/sun/irradiance2005/irradthuwn.br_5nm
0.5 nm FWHM Gaussian broadening
300 by 0.25 to 1000 nm
 
    nm    W/m**2/nm
  561.500  1.8314
  561.750  1.7584
  562.000  1.8135
  562.250  1.8530
  562.500  1.8253
  562.750  1.8258
  563.000  1.8800
  563.250  1.8986
  563.500  1.8689
  563.750  1.8344
  564.000  1.8271
  564.250  1.8336
  564.500  1.8470
  564.750  1.8712
  565.000  1.8710
  565.250  1.8558
  565.500  1.8322
  565.750  1.7898
  566.000  1.7568
  566.250  1.7765
  566.500  1.8132
  566.750  1.8382
  567.000  1.8499
  567.250  1.8775
  567.500  1.8888
  567.750  1.8778
  568.000  1.8689
  568.250  1.8355
  568.500  1.8024
  568.750  1.7973
  569.000  1.8065
  569.250  1.8400
  569.500  1.8582
  569.750  1.8619
  570.000  1.8487
  570.250  1.8230
  570.500  1.8139
  570.750  1.7787
  571.000  1.7281
  571.250  1.7267
  571.500  1.7914
  571.750  1.8394
  572.000  1.8622
  572.250  1.8840
  572.500  1.8923
  572.750  1.8867
  573.000  1.8794
  573.250  1.8677
  573.500  1.8711
  573.750  1.8827
  574.000  1.8805
  574.250  1.8748
  574.500  1.8746
  574.750  1.8645
  575.000  1.8469
  575.250  1.8256
  575.500  1.7908
  575.750  1.8202
  576.000  1.8465
  576.250  1.8186
  576.500  1.8171
  576.750  1.8630
  577.000  1.8767
  577.250  1.8582
  577.500  1.8416
  577.750  1.8461
  578.000  1.8325
  578.250  1.7806
  578.500  1.7577
  578.750  1.7796
  579.000  1.8136
  579.250  1.8146
  579.500  1.8203
  579.750  1.8314
  580.000  1.8336
  580.250  1.8476
  580.500  1.8309
  580.750  1.8091
  581.000  1.8193
  581.250  1.8371
  581.500  1.8325
  581.750  1.8148
  582.000  1.8349
  582.250  1.8540
  582.500  1.8542
  582.750  1.8523
  583.000  1.8501
  583.250  1.8456
  583.500  1.8391
  583.750  1.8357
  584.000  1.8401
  584.250  1.8490
  584.500  1.8484
  584.750  1.8334
  585.000  1.8234
  585.250  1.8153
  585.500  1.7888
  585.750  1.7525
  586.000  1.7379
  586.250  1.7704
  586.500  1.7976
  586.750  1.8104
  587.000  1.8204
  587.250  1.8317
  587.500  1.8315
  587.750  1.8297
  588.000  1.8234
  588.250  1.8148
  588.500  1.8025
  588.750  1.7645
  589.000  1.6157
  589.250  1.5425
  589.500  1.6025
  589.750  1.5989
  590.000  1.6902
  590.250  1.7865
  590.500  1.8039
  590.750  1.7964
  591.000  1.8043
  591.250  1.8022
  591.500  1.7723
  591.750  1.7694
  592.000  1.8018
  592.250  1.8153
  592.500  1.8153
  592.750  1.8043
  593.000  1.7711
  593.250  1.7636
  593.500  1.7779
  593.750  1.7895
  594.000  1.8049
  594.250  1.8016
  594.500  1.8001
  594.750  1.7907
  595.000  1.7632
  595.250  1.7587
  595.500  1.7639
  595.750  1.7740
  596.000  1.7833
  596.250  1.7945
  596.500  1.7963
  596.750  1.7951
  597.000  1.7992
  597.250  1.8026
  597.500  1.7864
  597.750  1.7575
  598.000  1.7625
  598.250  1.7712
  598.500  1.7376
  598.750  1.7276
  599.000  1.7556
  599.250  1.7740
  599.500  1.7807
  599.750  1.7661
  600.000  1.7526
  600.250  1.7566
  600.500  1.7481
  600.750  1.7338
  601.000  1.7200
  601.250  1.7376
  601.500  1.7334
  601.750  1.7266
  602.000  1.7147
  602.250  1.6928
  602.500  1.7018
  602.750  1.7295
  603.000  1.7541
  603.250  1.7720
  603.500  1.7796
  603.750  1.7800
  604.000  1.7762
  604.250  1.7639
  604.500  1.7629
  604.750  1.7721
  605.000  1.7772
  605.250  1.7739
  605.500  1.7547
  605.750  1.7435
  606.000  1.7620
  606.250  1.7711
  606.500  1.7497
  606.750  1.7398
  607.000  1.7692
  607.250  1.7857
  607.500  1.7849
  607.750  1.7643
  608.000  1.7356
  608.250  1.7406
  608.500  1.7444
  608.750  1.7406
  609.000  1.7418
  609.250  1.7388
  609.500  1.7455
  609.750  1.7565
  610.000  1.7547
  610.250  1.7066
  610.500  1.6785
  610.750  1.7262
  611.000  1.7489
  611.250  1.7553
  611.500  1.7573
  611.750  1.7500
  612.000  1.7398
  612.250  1.7011
  612.500  1.6931
  612.750  1.7265
  613.000  1.7322
  613.250  1.7352
  613.500  1.7254
  613.750  1.6587
  614.000  1.6435
  614.250  1.6885
  614.500  1.7132
  614.750  1.7285
  615.000  1.7232
  615.250  1.7246
  615.500  1.7127
  615.750  1.6959
  616.000  1.6824
  616.250  1.6163
  616.500  1.5954
  616.750  1.6519
  617.000  1.6501
  617.250  1.6549
  617.500  1.6945
  617.750  1.7014
  618.000  1.7124
  618.250  1.7270
  618.500  1.7338
  618.750  1.7199
  619.000  1.6972
  619.250  1.6711
  619.500  1.6911
  619.750  1.7263
  620.000  1.7259
  620.250  1.7190
